Years BP,CO2 (ppmv),Temp Anom Interp,CH4 Interp
-51.02999999999997,368.02248790241714,103.5,907.0
-48.0,361.78073658846415,103.5,907.0
-46.27927212999998,359.6477931830841,103.5,907.0
-44.40564212000004,357.10673969933646,103.5,907.0
-43.07999999999993,353.94668533391206,103.5,907.0
-42.313517060000095,353.72423581425323,103.5,907.0
-41.134816709999996,352.41630841973364,103.5,907.0
-39.97139973000003,350.8086522409729,103.5,907.0
-39.407967809999946,349.8002703595191,103.5,907.0
-38.966334940000024,349.27841464963046,103.5,907.0
-38.06951193000009,347.59740561133145,103.5,907.0
-37.20859160000009,345.44120600376243,103.5,907.0
-36.616016200000104,344.71776861346984,103.5,907.0
-36.14322833999995,343.9736767615952,103.5,907.0
-35.76218001999996,343.1107520502481,103.5,907.0
-34.916752950000046,342.0519764062061,103.5,907.0
-33.07684986999993,341.3292967441024,103.5,907.0
-33.02591865999989,339.4604885213476,103.5,907.0
-29.14258988000006,334.84855553252345,103.5,907.0
-26.796750369999927,335.54695345792317,103.5,907.0
-26.67036968000002,332.3689555204767,103.5,907.0
-25.570921230000067,332.3656863259178,103.5,907.0
-24.133413320000045,331.54980566810485,103.5,907.0
-22.088334380000106,328.41588801232757,103.5,907.0
-22.041017810000085,330.3504422217994,103.5,907.0
-20.872681979999925,326.3093257445175,103.5,907.0
-20.65630200999999,326.6491948420144,103.5,907.0
-20.637150239999983,324.9059936630005,103.5,907.0
-20.22168347999991,324.5570616692709,103.5,907.0
-19.423218019999922,324.70605757685405,103.5,907.0
-18.98437082999999,325.07717594979096,103.5,907.0
-18.813869489999888,324.08551736938495,103.5,907.0
-18.53874855999993,320.38065078205506,103.5,907.0
-16.78904407999994,320.4923553617883,103.5,907.0
-16.54523532999997,322.1747797142201,103.5,907.0
-15.866011569999955,320.98156635342656,103.5,907.0
-15.297878110000056,319.1950596158425,103.5,907.0
-15.226349230000096,319.8929363220089,103.5,907.0
-13.564495589999979,319.12347301713646,103.5,907.0
-13.200018279999995,319.06606441856763,103.5,907.0
-12.6152798600001,318.61106261456985,103.5,907.0
-12.542091540000001,317.4481354802273,103.5,907.0
-12.395341090000102,319.1381732232432,103.5,907.0
-12.321916399999964,317.5216280215933,103.5,907.0
-11.71589999999992,316.59261011941027,103.5,907.0
-10.568661719999909,318.20658038167187,103.5,907.0
-10.31404479999992,313.0933880516286,103.5,907.0
-9.092695849999927,311.98389241638387,103.5,907.0
-8.56297111999993,316.3340200101121,103.5,907.0
-8.102785849999918,316.1014028920352,103.5,907.0
-7.872424290000026,314.57216625352925,103.5,907.0
-7.257538840000052,315.2703546298443,103.5,907.0
-7.203373640000109,316.3253801823537,103.5,907.0
-7.103747099999964,314.4370577968855,103.5,907.0
-6.157200000000103,315.342073915026,103.5,907.0
-4.795964650000087,314.7139613439055,103.5,907.0
-3.791544359999989,313.1710570119369,103.5,907.0
-3.7139373699999396,312.8003637775662,103.5,907.0
-3.5585613600001125,312.22274083278216,103.5,907.0
-2.3839181700000154,312.1844627182946,103.5,907.0
-0.25090000000000146,312.0017776102837,103.5,907.0
0.33152825999991364,313.6602846482332,103.5,907.0
1.225945319999937,309.6939936066409,103.5,907.0
2.2935130999999274,311.57094999761165,103.5,907.0
3.3366031699999894,310.36290017732523,103.5,907.0
3.3731399599998895,312.8663621464335,103.5,907.0
4.38416084000005,312.5596867804179,103.5,907.0
4.442779830000063,311.9671347125998,103.5,907.0
4.6126112699998885,311.8114965345337,103.5,907.0
5.037190190000047,310.440204448011,103.5,907.0
5.2356770799999595,311.2775834649954,103.5,907.0
5.490957340000023,310.224309572614,103.5,907.0
6.426352059999999,312.36164019507424,103.5,907.0
7.792658919999894,311.878053578341,103.5,907.0
7.964587149999943,312.8437329659678,103.5,907.0
8.22030175000009,312.393938618938,103.5,907.0
9.160584629999903,311.80226771747726,103.5,907.0
9.245991239999967,307.7386635857962,103.5,907.0
10.030999999999949,309.80091502114107,103.5,907.0
10.408172680000007,310.9510867188181,103.5,907.0
10.77751491999993,311.21179432912515,103.5,907.0
11.03227736000008,310.4566675193962,103.5,907.0
11.838400000000092,308.47982780846024,103.5,907.0
11.870147509999924,311.94102882822733,103.5,907.0
12.132119869999997,311.52050972739016,103.5,907.0
12.233306950000042,312.3293254879136,103.5,907.0
13.136785700000019,307.4076931745866,103.5,907.0
14.12664190999999,309.3446868650601,103.5,906.2071644413866
14.290543329999991,307.25859856593024,103.5,906.0283323755575
14.94369888999995,306.3197983876916,103.5,905.3156774266101
16.123575399999936,309.6306260790445,103.5,904.0283197349779
16.40695077999999,307.0755443187391,103.5,903.7191301952504
17.219075570000086,305.94402817135216,103.5,902.8330246697053
17.462700710000036,308.27919921307927,103.5,902.5672064292405
17.70639580000011,308.25556223436706,103.5,902.3013118666607
19.17030616000011,305.7409186942765,103.5,900.7040461817916
20.613674270000047,305.3808267142061,103.5,899.1291940489484
21.256399999999985,305.78294147245686,103.5,898.4279190382904
21.46069323000006,305.70537216677735,103.5,898.2050156591995
21.843200000000024,305.66786848134046,103.5,897.7876643276937
22.203540369999928,308.01874186181465,103.5,897.3944986506137
24.686957090000078,304.96915678718324,103.5,894.68485438791
25.251618980000103,304.7159146968185,103.5,894.0687544646536
27.163116590000072,306.19862429992156,103.5,891.9831284436981
27.494957789999944,303.1815383191544,103.5,891.6210580765032
30.2922188,301.8758603769565,103.5,888.5689797901692
31.331601200000023,304.61320734820134,103.5,887.4349145588959
32.12541188,303.85222132002366,103.5,886.5687914723385
34.213969129999896,301.9151507114715,103.5,884.2899765138123
